time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-31 00:00:00+00:00,4,3,,
2025-02-01 00:00:00+00:00,6,3,,
2025-02-02 00:00:00+00:00,5,3,,
2025-02-03 00:00:00+00:00,2,2,,
2025-02-04 00:00:00+00:00,9,7,12.0,2.0
2025-02-05 00:00:00+00:00,5,4,1.0,1.0
2025-02-06 00:00:00+00:00,6,4,,
2025-02-07 00:00:00+00:00,7,5,53.0,2.0
2025-02-08 00:00:00+00:00,2,2,1.0,1.0
2025-02-09 00:00:00+00:00,2,2,,
2025-02-10 00:00:00+00:00,2,2,42.0,4.0
2025-02-11 00:00:00+00:00,5,3,29.0,2.0
2025-02-12 00:00:00+00:00,5,3,,
2025-02-13 00:00:00+00:00,1,1,,
