time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-13 00:00:00+00:00,15,4,0,0
2026-05-14 00:00:00+00:00,14,5,0,0
2026-05-15 00:00:00+00:00,20,7,0,0
2026-05-16 00:00:00+00:00,13,4,1,1
2026-05-17 00:00:00+00:00,16,7,0,0
2026-05-18 00:00:00+00:00,28,9,0,0
2026-05-19 00:00:00+00:00,13,4,0,0
2026-05-20 00:00:00+00:00,25,8,4,2
2026-05-21 00:00:00+00:00,15,7,0,0
2026-05-22 00:00:00+00:00,20,6,0,0
2026-05-23 00:00:00+00:00,16,7,0,0
2026-05-24 00:00:00+00:00,11,5,0,0
2026-05-25 00:00:00+00:00,36,12,0,0
2026-05-26 00:00:00+00:00,61,29,0,0
