time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-19 00:00:00+00:00,20,10,0,0
2026-04-20 00:00:00+00:00,55,23,0,0
2026-04-21 00:00:00+00:00,71,27,0,0
2026-04-22 00:00:00+00:00,95,38,8,4
2026-04-23 00:00:00+00:00,91,26,8,6
2026-04-24 00:00:00+00:00,88,36,4,1
2026-04-25 00:00:00+00:00,64,28,0,0
2026-04-26 00:00:00+00:00,11,6,0,0
2026-04-27 00:00:00+00:00,15,5,0,0
2026-04-28 00:00:00+00:00,30,8,0,0
2026-04-29 00:00:00+00:00,41,11,0,0
2026-04-30 00:00:00+00:00,24,8,0,0
2026-05-01 00:00:00+00:00,50,12,0,0
2026-05-02 00:00:00+00:00,8,3,0,0
