time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-26 00:00:00+00:00,61,29,0,0
2026-05-27 00:00:00+00:00,39,18,0,0
2026-05-28 00:00:00+00:00,24,11,1,1
2026-05-29 00:00:00+00:00,13,7,0,0
2026-05-30 00:00:00+00:00,23,8,0,0
2026-05-31 00:00:00+00:00,10,4,1,1
2026-06-01 00:00:00+00:00,21,10,0,0
2026-06-02 00:00:00+00:00,9,4,0,0
2026-06-03 00:00:00+00:00,13,7,0,0
2026-06-04 00:00:00+00:00,5,4,2,1
2026-06-05 00:00:00+00:00,21,6,0,0
2026-06-06 00:00:00+00:00,21,10,0,0
2026-06-07 00:00:00+00:00,20,7,0,0
2026-06-08 00:00:00+00:00,22,9,1,1
